iter	Passed	Remaining
0	158	158277
1	172	85886
2	184	61428
3	197	49232
4	211	42002
5	224	37172
6	237	33745
7	250	31024
8	263	28983
9	275	27294
10	289	25984
11	301	24855
12	314	23898
13	327	23053
14	339	22276
15	352	21666
16	364	21101
17	377	20576
18	389	20134
19	402	19746
20	415	19376
21	428	19040
22	440	18724
23	453	18454
24	467	18237
25	479	17966
26	492	17737
27	504	17518
28	517	17336
29	531	17195
30	545	17055
31	558	16894
32	572	16771
33	585	16625
34	596	16442
35	609	16313
36	621	16165
37	632	16009
38	645	15895
39	656	15755
40	669	15661
41	682	15570
42	695	15481
43	708	15402
44	722	15328
45	735	15252
46	749	15197
47	763	15134
48	774	15031
49	787	14964
50	799	14886
51	813	14831
52	827	14778
53	840	14718
54	853	14656
55	865	14592
56	877	14511
57	890	14456
58	902	14394
59	916	14357
60	929	14307
61	945	14298
62	961	14298
63	978	14313
64	991	14256
65	1009	14283
66	1019	14200
67	1032	14148
68	1044	14098
69	1056	14041
70	1067	13967
71	1079	13912
72	1102	13999
73	1124	14073
74	1149	14180
75	1169	14214
76	1204	14438
77	1223	14462
78	1239	14453
79	1256	14446
80	1271	14425
81	1287	14412
82	1301	14384
83	1316	14360
84	1331	14338
85	1347	14317
86	1363	14306
87	1380	14302
88	1393	14267
89	1407	14229
90	1430	14284
91	1452	14338
92	1484	14476
93	1510	14554
94	1537	14646
95	1559	14683
96	1584	14750
97	1610	14820
98	1632	14856
99	1655	14903
100	1679	14946
101	1693	14909
102	1705	14849
103	1717	14795
104	1729	14742
105	1742	14694
106	1755	14647
107	1766	14588
108	1777	14530
109	1790	14485
110	1801	14426
111	1813	14376
112	1825	14331
113	1838	14285
114	1848	14226
115	1861	14183
116	1873	14140
117	1885	14096
118	1898	14054
119	1910	14012
120	1923	13970
121	1935	13932
122	1949	13901
123	1962	13865
124	1974	13822
125	1985	13775
126	1997	13729
127	2010	13698
128	2022	13657
129	2034	13617
130	2048	13585
131	2060	13550
132	2071	13503
133	2082	13460
134	2094	13419
135	2105	13376
136	2117	13337
137	2128	13296
138	2141	13264
139	2153	13231
140	2166	13198
141	2179	13167
142	2192	13138
143	2203	13101
144	2216	13071
145	2228	13037
146	2241	13008
147	2254	12978
148	2267	12953
149	2280	12925
150	2293	12895
151	2306	12865
152	2318	12834
153	2332	12811
154	2344	12781
155	2357	12755
156	2370	12730
157	2382	12695
158	2394	12667
159	2407	12641
160	2418	12605
161	2432	12580
162	2446	12560
163	2461	12548
164	2472	12513
165	2485	12486
166	2497	12456
167	2508	12423
168	2524	12414
169	2536	12384
170	2549	12359
171	2562	12334
172	2574	12309
173	2587	12281
174	2600	12257
175	2613	12233
176	2626	12210
177	2638	12185
178	2651	12161
179	2664	12137
180	2677	12114
181	2690	12091
182	2703	12069
183	2716	12048
184	2730	12027
185	2742	12004
186	2755	11980
187	2769	11962
188	2782	11940
189	2795	11917
190	2808	11893
191	2821	11874
192	2834	11850
193	2846	11826
194	2858	11799
195	2870	11774
196	2883	11752
197	2894	11724
198	2907	11701
199	2919	11679
200	2930	11650
201	2943	11626
202	2956	11606
203	2969	11586
204	2983	11568
205	2995	11544
206	3007	11521
207	3019	11497
208	3031	11474
209	3044	11454
210	3057	11433
211	3070	11412
212	3083	11391
213	3095	11370
214	3109	11351
215	3121	11331
216	3133	11306
217	3151	11304
218	3170	11307
219	3187	11300
220	3198	11274
221	3210	11250
222	3221	11226
223	3233	11201
224	3244	11175
225	3255	11149
226	3268	11128
227	3280	11107
228	3293	11089
229	3306	11070
230	3318	11048
231	3332	11030
232	3345	11013
233	3359	10996
234	3372	10979
235	3386	10961
236	3399	10944
237	3412	10926
238	3425	10906
239	3438	10888
240	3449	10863
241	3462	10844
242	3475	10825
243	3487	10806
244	3501	10788
245	3514	10771
246	3527	10752
247	3541	10738
248	3554	10719
249	3567	10702
250	3580	10684
251	3593	10667
252	3606	10649
253	3619	10631
254	3632	10611
255	3645	10594
256	3657	10574
257	3670	10557
258	3683	10538
259	3696	10521
260	3709	10502
261	3722	10484
262	3733	10462
263	3746	10444
264	3759	10427
265	3772	10409
266	3785	10391
267	3797	10372
268	3810	10355
269	3823	10338
270	3835	10318
271	3848	10301
272	3860	10280
273	3873	10263
274	3886	10246
275	3899	10228
276	3912	10213
277	3925	10196
278	3939	10179
279	3951	10160
280	3964	10144
281	3977	10127
282	3990	10110
283	4001	10088
284	4014	10071
285	4028	10056
286	4040	10038
287	4053	10020
288	4065	10002
289	4078	9985
290	4090	9965
291	4101	9944
292	4114	9927
293	4127	9911
294	4140	9894
295	4153	9878
296	4166	9862
297	4179	9845
298	4192	9828
299	4204	9810
300	4216	9792
301	4227	9771
302	4240	9754
303	4252	9736
304	4264	9716
305	4275	9696
306	4288	9679
307	4300	9662
308	4312	9644
309	4325	9627
310	4338	9611
311	4351	9594
312	4363	9577
313	4376	9561
314	4388	9544
315	4400	9524
316	4413	9508
317	4425	9492
318	4438	9474
319	4449	9456
320	4462	9439
321	4475	9423
322	4488	9407
323	4501	9391
324	4515	9377
325	4527	9360
326	4539	9343
327	4553	9328
328	4565	9311
329	4577	9294
330	4590	9277
331	4602	9260
332	4615	9245
333	4627	9226
334	4640	9210
335	4652	9194
336	4665	9178
337	4678	9163
338	4691	9147
339	4704	9131
340	4717	9116
341	4729	9099
342	4741	9083
343	4755	9067
344	4768	9052
345	4780	9036
346	4792	9018
347	4804	9002
348	4817	8986
349	4830	8970
350	4843	8955
351	4855	8939
352	4869	8924
353	4881	8908
354	4894	8893
355	4905	8874
356	4917	8856
357	4930	8841
358	4942	8825
359	4955	8810
360	4968	8794
361	4981	8778
362	4993	8762
363	5005	8746
364	5019	8732
365	5032	8717
366	5045	8701
367	5057	8686
368	5070	8671
369	5083	8655
370	5096	8640
371	5109	8624
372	5123	8612
373	5136	8598
374	5150	8583
375	5163	8569
376	5176	8554
377	5190	8540
378	5203	8525
379	5216	8510
380	5229	8496
381	5242	8480
382	5254	8464
383	5267	8449
384	5279	8433
385	5291	8417
386	5303	8400
387	5316	8385
388	5329	8370
389	5342	8355
390	5355	8340
391	5368	8326
392	5381	8311
393	5394	8297
394	5407	8282
395	5419	8266
396	5432	8251
397	5445	8237
398	5458	8221
399	5471	8207
400	5484	8192
401	5497	8177
402	5510	8162
403	5523	8147
404	5536	8133
405	5548	8117
406	5561	8102
407	5574	8088
408	5587	8073
409	5600	8059
410	5613	8044
411	5625	8028
412	5638	8014
413	5651	7999
414	5663	7983
415	5676	7968
416	5688	7953
417	5701	7938
418	5713	7922
419	5726	7907
420	5739	7892
421	5752	7878
422	5764	7863
423	5777	7848
424	5789	7833
425	5803	7819
426	5816	7804
427	5828	7789
428	5840	7774
429	5854	7760
430	5866	7745
431	5879	7730
432	5892	7716
433	5905	7702
434	5918	7687
435	5931	7673
436	5944	7658
437	5957	7643
438	5970	7629
439	5981	7613
440	5994	7598
441	6007	7584
442	6020	7569
443	6033	7555
444	6045	7540
445	6057	7524
446	6070	7510
447	6083	7496
448	6096	7481
449	6108	7466
450	6121	7452
451	6134	7437
452	6147	7423
453	6160	7408
454	6173	7394
455	6185	7379
456	6198	7365
457	6211	7350
458	6224	7336
459	6237	7322
460	6249	7307
461	6262	7292
462	6275	7278
463	6287	7263
464	6299	7247
465	6310	7231
466	6323	7216
467	6335	7202
468	6347	7187
469	6361	7173
470	6373	7158
471	6386	7144
472	6399	7130
473	6412	7116
474	6425	7101
475	6438	7087
476	6451	7073
477	6463	7058
478	6476	7044
479	6491	7032
480	6504	7018
481	6517	7003
482	6529	6989
483	6542	6975
484	6555	6960
485	6568	6946
486	6580	6932
487	6593	6918
488	6607	6904
489	6620	6890
490	6633	6876
491	6646	6862
492	6659	6848
493	6672	6834
494	6685	6820
495	6697	6805
496	6710	6791
497	6722	6776
498	6735	6762
499	6748	6748
500	6760	6733
501	6773	6719
502	6786	6705
503	6799	6691
504	6812	6677
505	6825	6664
506	6838	6649
507	6850	6635
508	6863	6620
509	6876	6606
510	6889	6592
511	6902	6578
512	6915	6564
513	6927	6550
514	6940	6536
515	6953	6522
516	6966	6508
517	6979	6494
518	6992	6480
519	7005	6466
520	7018	6452
521	7030	6437
522	7043	6423
523	7056	6410
524	7069	6396
525	7082	6381
526	7093	6366
527	7105	6352
528	7118	6337
529	7130	6323
530	7143	6309
531	7156	6295
532	7169	6281
533	7182	6267
534	7195	6253
535	7208	6240
536	7221	6226
537	7233	6211
538	7246	6197
539	7259	6183
540	7270	6168
541	7281	6153
542	7293	6138
543	7306	6124
544	7319	6110
545	7330	6095
546	7342	6080
547	7355	6066
548	7368	6052
549	7381	6039
550	7393	6025
551	7406	6010
552	7419	5997
553	7431	5982
554	7444	5968
555	7456	5954
556	7469	5940
557	7481	5926
558	7494	5912
559	7508	5899
560	7521	5885
561	7533	5871
562	7545	5856
563	7558	5842
564	7570	5828
565	7585	5816
566	7598	5802
567	7611	5788
568	7624	5775
569	7636	5761
570	7649	5747
571	7662	5733
572	7675	5719
573	7687	5705
574	7700	5691
575	7713	5677
576	7725	5663
577	7738	5650
578	7751	5636
579	7764	5622
580	7777	5608
581	7789	5594
582	7802	5580
583	7815	5567
584	7828	5553
585	7841	5539
586	7854	5526
587	7866	5512
588	7879	5498
589	7892	5484
590	7905	5470
591	7918	5457
592	7931	5443
593	7944	5430
594	7957	5416
595	7970	5402
596	7982	5388
597	7995	5374
598	8008	5361
599	8021	5347
600	8035	5334
601	8048	5321
602	8061	5307
603	8074	5293
604	8087	5280
605	8100	5266
606	8114	5253
607	8126	5239
608	8139	5225
609	8153	5212
610	8166	5199
611	8179	5185
612	8192	5172
613	8205	5158
614	8218	5144
615	8231	5131
616	8244	5117
617	8257	5104
618	8270	5090
619	8282	5076
620	8294	5061
621	8306	5047
622	8319	5034
623	8333	5021
624	8346	5007
625	8359	4994
626	8371	4980
627	8385	4967
628	8398	4953
629	8411	4940
630	8425	4927
631	8438	4913
632	8452	4900
633	8465	4887
634	8477	4872
635	8490	4859
636	8503	4845
637	8517	4832
638	8530	4819
639	8543	4805
640	8556	4792
641	8570	4779
642	8584	4765
643	8596	4752
644	8609	4738
645	8622	4725
646	8636	4711
647	8649	4698
648	8662	4684
649	8675	4671
650	8687	4657
651	8701	4644
652	8714	4630
653	8727	4617
654	8740	4603
655	8752	4589
656	8766	4576
657	8779	4563
658	8791	4549
659	8805	4535
660	8817	4522
661	8830	4508
662	8843	4495
663	8856	4481
664	8869	4468
665	8882	4454
666	8895	4441
667	8907	4427
668	8920	4413
669	8933	4400
670	8946	4386
671	8959	4373
672	8972	4359
673	8985	4345
674	8998	4332
675	9012	4319
676	9025	4306
677	9038	4292
678	9051	4279
679	9064	4265
680	9077	4251
681	9090	4238
682	9103	4225
683	9116	4211
684	9129	4198
685	9142	4184
686	9155	4171
687	9167	4157
688	9181	4144
689	9193	4130
690	9206	4117
691	9219	4103
692	9233	4090
693	9246	4077
694	9259	4063
695	9272	4050
696	9285	4036
697	9296	4022
698	9308	4008
699	9320	3994
700	9333	3980
701	9346	3967
702	9357	3953
703	9369	3939
704	9380	3925
705	9391	3910
706	9404	3897
707	9417	3883
708	9430	3870
709	9443	3857
710	9456	3843
711	9469	3830
712	9482	3816
713	9495	3803
714	9508	3789
715	9521	3776
716	9534	3763
717	9547	3749
718	9559	3736
719	9573	3722
720	9585	3709
721	9598	3695
722	9611	3682
723	9624	3668
724	9637	3655
725	9650	3642
726	9664	3629
727	9677	3615
728	9689	3602
729	9703	3588
730	9716	3575
731	9729	3562
732	9743	3549
733	9756	3535
734	9769	3522
735	9783	3509
736	9796	3495
737	9809	3482
738	9822	3469
739	9836	3455
740	9849	3442
741	9862	3429
742	9875	3415
743	9888	3402
744	9902	3389
745	9915	3376
746	9928	3362
747	9941	3349
748	9954	3335
749	9967	3322
750	9980	3309
751	9994	3295
752	10007	3282
753	10021	3269
754	10034	3256
755	10046	3242
756	10060	3229
757	10073	3216
758	10087	3202
759	10100	3189
760	10113	3176
761	10126	3162
762	10139	3149
763	10152	3135
764	10165	3122
765	10178	3109
766	10191	3095
767	10204	3082
768	10217	3069
769	10230	3055
770	10244	3042
771	10257	3029
772	10270	3015
773	10283	3002
774	10297	2989
775	10309	2976
776	10321	2962
777	10333	2948
778	10345	2935
779	10359	2921
780	10372	2908
781	10384	2895
782	10398	2881
783	10412	2868
784	10426	2855
785	10439	2842
786	10452	2828
787	10465	2815
788	10478	2802
789	10491	2788
790	10504	2775
791	10516	2762
792	10529	2748
793	10542	2735
794	10554	2721
795	10567	2708
796	10579	2694
797	10592	2681
798	10606	2668
799	10618	2654
800	10631	2641
801	10644	2627
802	10657	2614
803	10669	2601
804	10682	2587
805	10694	2574
806	10707	2560
807	10719	2547
808	10732	2533
809	10745	2520
810	10756	2506
811	10769	2493
812	10782	2480
813	10795	2466
814	10808	2453
815	10821	2440
816	10834	2426
817	10847	2413
818	10861	2400
819	10873	2386
820	10886	2373
821	10898	2360
822	10911	2346
823	10924	2333
824	10937	2320
825	10950	2306
826	10963	2293
827	10977	2280
828	10990	2267
829	11003	2253
830	11016	2240
831	11028	2226
832	11041	2213
833	11054	2200
834	11067	2186
835	11079	2173
836	11092	2160
837	11105	2146
838	11118	2133
839	11131	2120
840	11144	2106
841	11156	2093
842	11169	2080
843	11182	2066
844	11195	2053
845	11208	2040
846	11221	2027
847	11234	2013
848	11246	2000
849	11259	1987
850	11272	1973
851	11285	1960
852	11298	1947
853	11311	1933
854	11323	1920
855	11334	1906
856	11346	1893
857	11359	1879
858	11372	1866
859	11385	1853
860	11397	1840
861	11410	1826
862	11423	1813
863	11436	1800
864	11448	1786
865	11460	1773
866	11473	1760
867	11485	1746
868	11498	1733
869	11510	1720
870	11523	1706
871	11536	1693
872	11548	1680
873	11561	1666
874	11575	1653
875	11588	1640
876	11600	1627
877	11613	1613
878	11626	1600
879	11639	1587
880	11652	1573
881	11665	1560
882	11677	1547
883	11690	1534
884	11703	1520
885	11716	1507
886	11728	1494
887	11741	1480
888	11754	1467
889	11767	1454
890	11780	1441
891	11793	1427
892	11805	1414
893	11818	1401
894	11831	1388
895	11843	1374
896	11856	1361
897	11869	1348
898	11881	1334
899	11894	1321
900	11906	1308
901	11919	1295
902	11932	1281
903	11945	1268
904	11957	1255
905	11970	1241
906	11983	1228
907	11997	1215
908	12010	1202
909	12022	1189
910	12034	1175
911	12047	1162
912	12060	1149
913	12073	1135
914	12086	1122
915	12098	1109
916	12112	1096
917	12124	1083
918	12138	1069
919	12150	1056
920	12162	1043
921	12175	1030
922	12187	1016
923	12200	1003
924	12213	990
925	12226	977
926	12239	963
927	12252	950
928	12265	937
929	12278	924
930	12290	910
931	12303	897
932	12316	884
933	12328	871
934	12340	857
935	12352	844
936	12362	831
937	12374	817
938	12389	804
939	12402	791
940	12415	778
941	12428	765
942	12440	751
943	12453	738
944	12465	725
945	12477	712
946	12490	699
947	12503	685
948	12516	672
949	12529	659
950	12541	646
951	12554	633
952	12567	619
953	12580	606
954	12593	593
955	12606	580
956	12618	566
957	12631	553
958	12643	540
959	12656	527
960	12670	514
961	12682	500
962	12695	487
963	12708	474
964	12721	461
965	12734	448
966	12746	435
967	12759	421
968	12773	408
969	12785	395
970	12799	382
971	12812	369
972	12825	355
973	12838	342
974	12851	329
975	12864	316
976	12876	303
977	12889	289
978	12903	276
979	12916	263
980	12929	250
981	12942	237
982	12956	224
983	12969	210
984	12983	197
985	12997	184
986	13010	171
987	13023	158
988	13036	144
989	13050	131
990	13063	118
991	13076	105
992	13090	92
993	13103	79
994	13117	65
995	13131	52
996	13144	39
997	13158	26
998	13171	13
999	13184	0
